# Synthetic UV-Vis (waterfall demo) — not a real compound
# x_unit=nm  y_unit=A
wavelength_nm,absorbance
200.0,0.050000
201.0,0.050200
202.0,0.050400
203.0,0.050600
204.0,0.050800
205.0,0.051000
206.0,0.051200
207.0,0.051400
208.0,0.051600
209.0,0.051800
210.0,0.052000
211.0,0.052200
212.0,0.052400
213.0,0.052600
214.0,0.052800
215.0,0.053000
216.0,0.053201
217.0,0.053401
218.0,0.053601
219.0,0.053802
220.0,0.054003
221.0,0.054205
222.0,0.054408
223.0,0.054611
224.0,0.054817
225.0,0.055025
226.0,0.055236
227.0,0.055452
228.0,0.055675
229.0,0.055908
230.0,0.056153
231.0,0.056416
232.0,0.056702
233.0,0.057020
234.0,0.057380
235.0,0.057795
236.0,0.058283
237.0,0.058866
238.0,0.059569
239.0,0.060426
240.0,0.061479
241.0,0.062777
242.0,0.064381
243.0,0.066360
244.0,0.068798
245.0,0.071793
246.0,0.075457
247.0,0.079915
248.0,0.085309
249.0,0.091795
250.0,0.099543
251.0,0.108734
252.0,0.119556
253.0,0.132204
254.0,0.146871
255.0,0.163746
256.0,0.183002
257.0,0.204794
258.0,0.229245
259.0,0.256440
260.0,0.286419
261.0,0.319163
262.0,0.354591
263.0,0.392549
264.0,0.432807
265.0,0.475058
266.0,0.518912
267.0,0.563904
268.0,0.609495
269.0,0.655082
270.0,0.700012
271.0,0.743592
272.0,0.785110
273.0,0.823851
274.0,0.859121
275.0,0.890263
276.0,0.916681
277.0,0.937857
278.0,0.953371
279.0,0.962910
280.0,0.966286
281.0,0.963435
282.0,0.954424
283.0,0.939449
284.0,0.918826
285.0,0.892980
286.0,0.862436
287.0,0.827796
288.0,0.789723
289.0,0.748920
290.0,0.706110
291.0,0.662015
292.0,0.617338
293.0,0.572746
294.0,0.528853
295.0,0.486214
296.0,0.445311
297.0,0.406551
298.0,0.370262
299.0,0.336695
300.0,0.306027
301.0,0.278365
302.0,0.253754
303.0,0.232185
304.0,0.213601
305.0,0.197911
306.0,0.184994
307.0,0.174710
308.0,0.166906
309.0,0.161424
310.0,0.158105
311.0,0.156794
312.0,0.157345
313.0,0.159619
314.0,0.163491
315.0,0.168847
316.0,0.175583
317.0,0.183608
318.0,0.192839
319.0,0.203200
320.0,0.214623
321.0,0.227043
322.0,0.240397
323.0,0.254624
324.0,0.269661
325.0,0.285440
326.0,0.301892
327.0,0.318941
328.0,0.336507
329.0,0.354500
330.0,0.372827
331.0,0.391385
332.0,0.410067
333.0,0.428758
334.0,0.447337
335.0,0.465681
336.0,0.483662
337.0,0.501150
338.0,0.518013
339.0,0.534123
340.0,0.549352
341.0,0.563575
342.0,0.576677
343.0,0.588545
344.0,0.599078
345.0,0.608185
346.0,0.615786
347.0,0.621814
348.0,0.626215
349.0,0.628952
350.0,0.630000
351.0,0.629352
352.0,0.627015
353.0,0.623014
354.0,0.617386
355.0,0.610185
356.0,0.601478
357.0,0.591344
358.0,0.579875
359.0,0.567173
360.0,0.553348
361.0,0.538518
362.0,0.522806
363.0,0.506338
364.0,0.489245
365.0,0.471657
366.0,0.453701
367.0,0.435505
368.0,0.417192
369.0,0.398878
370.0,0.380674
371.0,0.362685
372.0,0.345005
373.0,0.327721
374.0,0.310912
375.0,0.294644
376.0,0.278977
377.0,0.263959
378.0,0.249629
379.0,0.236017
380.0,0.223144
381.0,0.211023
382.0,0.199658
383.0,0.189049
384.0,0.179185
385.0,0.170054
386.0,0.161634
387.0,0.153904
388.0,0.146836
389.0,0.140399
390.0,0.134562
391.0,0.129291
392.0,0.124551
393.0,0.120307
394.0,0.116523
395.0,0.113165
396.0,0.110199
397.0,0.107592
398.0,0.105311
399.0,0.103327
400.0,0.101610
401.0,0.100135
402.0,0.098875
403.0,0.097807
404.0,0.096910
405.0,0.096164
406.0,0.095551
407.0,0.095055
408.0,0.094660
409.0,0.094355
410.0,0.094126
411.0,0.093964
412.0,0.093859
413.0,0.093803
414.0,0.093789
415.0,0.093810
416.0,0.093862
417.0,0.093939
418.0,0.094038
419.0,0.094154
420.0,0.094286
421.0,0.094430
422.0,0.094585
423.0,0.094748
424.0,0.094918
425.0,0.095093
426.0,0.095274
427.0,0.095458
428.0,0.095646
429.0,0.095836
430.0,0.096028
431.0,0.096222
432.0,0.096417
433.0,0.096613
434.0,0.096810
435.0,0.097008
436.0,0.097206
437.0,0.097405
438.0,0.097604
439.0,0.097803
440.0,0.098002
441.0,0.098202
442.0,0.098401
443.0,0.098601
444.0,0.098801
445.0,0.099000
446.0,0.099200
447.0,0.099400
448.0,0.099600
449.0,0.099800
450.0,0.100000
451.0,0.100200
452.0,0.100400
453.0,0.100600
454.0,0.100800
455.0,0.101000
456.0,0.101200
457.0,0.101400
458.0,0.101600
459.0,0.101800
460.0,0.102000
461.0,0.102200
462.0,0.102400
463.0,0.102600
464.0,0.102800
465.0,0.103000
466.0,0.103200
467.0,0.103400
468.0,0.103600
469.0,0.103800
470.0,0.104000
471.0,0.104200
472.0,0.104400
473.0,0.104600
474.0,0.104800
475.0,0.105000
476.0,0.105200
477.0,0.105400
478.0,0.105600
479.0,0.105800
480.0,0.106000
481.0,0.106200
482.0,0.106400
483.0,0.106600
484.0,0.106800
485.0,0.107000
486.0,0.107200
487.0,0.107400
488.0,0.107600
489.0,0.107800
490.0,0.108000
491.0,0.108200
492.0,0.108400
493.0,0.108600
494.0,0.108800
495.0,0.109000
496.0,0.109200
497.0,0.109400
498.0,0.109600
499.0,0.109800
500.0,0.110000
